English,Kiswahili,Ekegusii,Domain
"Kenya: Research Terms of Reference - 2026 Multi-Sectoral Needs Assessment, KEN2601 (May 2026, 01)","Kenya: Masharti ya Marejeleo ya Utafiti - Tathmini ya Mahitaji ya Kisekta Mbalimbali ya 2026, KEN2601 (Mei 2026, 01)",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
KNCHR educates citizens on inclusion of marginalized communities.,N/A - Pending Fine-Tuned Model Inference,Ekeombe keria ekenene kerendete oboronge bwakemwanyabanto KNCHR ngosomia kere okoretwa amo nabaria batigaerete nyuma gose gochaywa.,Education
Ministry of Education organizes online continuous professional development training for teachers on CBC curriculum.,N/A - Pending Fine-Tuned Model Inference,Eminisitiri yechisemi nkoroberia ere goetera eintaneti omeroberio bwamasomo akogenderera rioka igoro yogokinia chisemia ase abarimu igoro yomoroberio bwechisemi orengete okweneya gwa kere omwana nechisemi chiokwegendereria (CBC).,Education
Kenya: Resolving conflict and rekindling unity in Elebor and Turbi in Marsabit County,Kenya: Kusuluhisha mizozo na kufufua umoja huko Elebor na Turbi katika Kaunti ya Marsabit,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Kenya Drought Response Dashboard (January to September 2023),Dashibodi ya Kukabiliana na Ukame Kenya (Januari hadi Septemba 2023),N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Amref Health Africa Launches ‘Tucheze Tustawi’ Project to Support Early Childhood Development in Refugee and Host Communities in Turkana West Sub-county,Amref Health Africa Yazindua Mradi wa ‘Tucheze Tustawi’ wa Kusaidia Ukuaji wa Utotoni katika Jumuiya za Wakimbizi na Wenyeji katika Kaunti Ndogo ya Turkana Magharibi.,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Kenya: Population Movement - 01-2024 - Baringo Insecurity (2024-03-27),Kenya: Harakati za Idadi ya Watu - 01-2024 - Ukosefu wa Usalama Baringo (2024-03-27),N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Breast feeding always is allowed. Employers should. Employers should provide breast feeding mothers humble time to breast feed their children,N/A - Pending Fine-Tuned Model Inference,Okogonkia nokwabotambe na gwancherwa. Abatachiri barue ribaga risaine ase abàngina bakogonkia,Health
Lamu County: Drought Early Warning Bulletin for February 2023,Kaunti ya Lamu: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Februari 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Kenya Price Bulletin, August 2024","Taarifa ya Bei ya Kenya, Agosti 2024",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Ministry of ICT collaborates with NGOs to hold nationwide workshops educating parents on digital tools and child online safety.,N/A - Pending Fine-Tuned Model Inference,"Eminisitiri Yamangan, Gokwanerana na Egetekinorochia (ICT) nkbwaterana bare na NGOs ase okoumerana okonene  gosomi abaibori igoro yebikoreri biedichitari na oborendi bwa'bana geintaneti.",Education
"Climate smart agriculture is a new approach for charting a pathway to develop agricultural systems that promote sustainability, strengthen food security and ...",N/A - Pending Fine-Tuned Model Inference,Chisemi chioboremi goetera tekinorochia yegedichitari nenchera ya bono yokoererania chinkwana chirengete gokong'ia oboremi bogosegeta okwegendereria erio goikerania omoigoto...,Agriculture
Breastfeeding is foundational for both child survival and maternal health.,Kunyonyesha ni msingi wa maisha ya mtoto na afya ya uzazi.,N/A - Pending Fine-Tuned Model Inference,Health
"Kenya steps up surveillance, response measures to curb mpox","Kenya yaongeza uangalizi, hatua za kukabiliana na ugonjwa huo",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
America continues vaccination to control diarrhoea amongst livestock.,N/A - Pending Fine-Tuned Model Inference,Amerika negenderete kobeta chisindani chiogotanga endwari yogosaa ase etugo.,Agriculture
Climate information and Kenya’s women smallholder farmers: a needs assessment (Jan 2023),Taarifa za hali ya hewa na wakulima wadogo wanawake wa Kenya: tathmini ya mahitaji (Jan 2023),N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Announcement to attract development in new arrangements in foods, and health services among health workers through technology",N/A - Pending Fine-Tuned Model Inference,"Okorari gwokong'usa amagenderero ase emeroberio emeyia ase chindagera, obokoreri bw'obochenu ase abakori emeremo n'etekinolochi yokorereta",Health
"To provide, promote and co-ordinate the training sector by assuring quality, inclusiveness and relevance for the enhancement of the national economy and global competitiveness.","Kutoa, kukuza na kuratibu sekta ya mafunzo kwa kuhakikisha ubora, ushirikishwaji na umuhimu kwa ajili ya kuimarisha uchumi wa taifa na ushindani wa kimataifa.",N/A - Pending Fine-Tuned Model Inference,General
"Bridging policy and practice: Key insights from the Water, Peace and Climate Conference in Kenya","Sera na utendaji wa kuunganisha: Mawazo muhimu kutoka kwa Mkutano wa Maji, Amani na Hali ya Hewa nchini Kenya",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
A triple emergency in Kenya amid malaria and measles outbreaks,Dharura mara tatu nchini Kenya huku kukiwa na milipuko ya malaria na surua,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Tharaka Nithi County: Drought Early Warning Bulletin for July 2023,Kaunti ya Tharaka Nithi: Taarifa ya Onyo la Mapema kuhusu Ukame Julai 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Fuel Spill and Fire - Rapid Environmental Emergency Assessment, Mukuru-Sinai slum, Nairobi Kenya",N/A - Pending Fine-Tuned Model Inference,N/A - Pending Fine-Tuned Model Inference,General
NGEC promotes public dialogue on gender equality and anti-discrimination laws.,N/A - Pending Fine-Tuned Model Inference,Omoroberio omonene bwokobeka chinguru chierisase (NGEC) ngosegeta kere chinkwana igoro yoboreng'ananu  bwabanto bonsi amo namachiko agotanga gokorerwa bobe ase ogoatananwa.,Education
The next phase is to ensure that every patient benefits from the same standard of high-quality care.,Awamu inayofuata ni kuhakikisha kwamba kila mgonjwa ananufaika na kiwango sawa cha utunzaji wa hali ya juu.,N/A - Pending Fine-Tuned Model Inference,Health
Tana River County: Drought Early Warning Bulletin for July 2024,Kaunti ya Tana River: Taarifa ya Onyo la Mapema kuhusu Ukame Julai 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Data is critical tool as farmers fight drought in Kenya,Data ni nyenzo muhimu wakulima wanapopambana na ukame nchini Kenya,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
UNHCR Kenya: Multi-year Strategy 2023 - 2026 - Livelihoods and Economic Inclusion (June 2022),UNHCR Kenya: Mikakati ya Miaka Mingi 2023 - 2026 - Riziki na Ushirikishwaji wa Kiuchumi (Juni 2022),N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Climate-smart agriculture (CSA) is an approach that helps guide actions to transform agri-food systems towards green and climate resilient practices.,N/A - Pending Fine-Tuned Model Inference,Oboremi borengete ebimeri biria bikoremereria ogoonchoka kwerire na egurargura  (CSA)  nenchera egokonya korwa oborai aerio goonchoreria engencho oboremi bogokorwa nenchera yokoererania chindagera erio towards green and climate resilient practices.,Agriculture
Makueni County: Drought Early Warning Bulletin for November 2022,Kaunti ya Makueni: Taarifa ya Onyo la Mapema kuhusu Ukame ya Novemba 2022,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
taking care of your mental health is great contribution on how you take care of your body.,N/A - Pending Fine-Tuned Model Inference,"Korenda afya y'ebirengererio biao nabo ebwate oborito buna korenda afya y'omobere oo.
  Obongo bobwate afya engiya nigo bokorenta obogima obuya bobwate afya.",Health
Turkana County: Drought Early Warning Bulletin for September 2022,Kaunti ya Turkana: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Septemba 2022,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Tana River County: Drought Early Warning Bulletin for April 2024,Kaunti ya Tana River: Taarifa ya Onyo la Mapema kuhusu Ukame la Aprili 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Kenya: Floods - DREF Operation (MDRKE058),Kenya: Mafuriko - Operesheni ya DREF (MDRKE058),N/A - Pending Fine-Tuned Model Inference,Disaster/Health
A quick entry and progressive digital technology has power to transform how peasant farmers receive and utilize information.,N/A - Pending Fine-Tuned Model Inference,Gosoa bwango na kogendereria tekinorochia yegedichitari nere nechinguru chiokorenta ogoonchoreria chingencho buna abaremi abataka bakonyora na gotumia amang'ana ...,Agriculture
"Secretary-General, Saddened by Deaths in Flooding, Pledges UN Support to Kenya","Katibu Mkuu, Amehuzunishwa na Vifo katika Mafuriko, Aahidi Msaada wa Umoja wa Mataifa kwa Kenya",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Additionally, 400 000 animals will be dewormed, treated against internal and external parasites and given multivitamins to sustain milk and meat production and survive through this period, directly preserving the livelihoods and nutritional well-being of 4 000 vulnerable households.","Zaidi ya hayo, wanyama 400,000 watatiwa dawa ya minyoo, watatibiwa dhidi ya vimelea vya ndani na nje na kupewa multivitamini ili kuendeleza uzalishaji wa maziwa na nyama na kuishi katika kipindi hiki, kuhifadhi moja kwa moja maisha na ustawi wa lishe wa kaya 4,000 zilizo katika mazingira magumu.",N/A - Pending Fine-Tuned Model Inference,Health
"Sweet drinks icluding sodas are harmful to children, increases body weight and teeth decay",N/A - Pending Fine-Tuned Model Inference,Ebinyugwa bigwansa nechisota neɓibe ase abana naende binkomenta ekenoro na ogosareka amaino,Health
"Seasonal gains in water and pasture are uneven and short‑lived, while depleted herds, high food prices, and reduced assistance continue to push vulnerable households toward irreversible losses.","Mafanikio ya msimu katika maji na malisho hayalingani na yanadumu kwa muda mfupi, huku mifugo iliyopungua, bei ya juu ya chakula, na usaidizi uliopunguzwa ukiendelea kusukuma kaya zilizo hatarini kwenye hasara isiyoweza kurekebishwa.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Ministry of Education distributes tablets equipped with preloaded curriculum content for youth in community learning centers.,N/A - Pending Fine-Tuned Model Inference,Eminisitiri yechisemi nkobaga ere ebikombiuta biakoboko bobekire amasomo onsi pi ase chinyomba chiogosomera chiebinyoro erio abasae basome.,Education
"In IFAD, this shows how digital agriculture needs to be put at bottom of the heart in our works. Whereas the poor of the world are surrounded by food scarcity.",N/A - Pending Fine-Tuned Model Inference,"Ase IFAD,eye nigo ekworokia egekogera obooremi bwegedicgitari boanetie kobekwa nkoro ase obokoreri bwaye. Buna abataka bense baonchokananire nenchara...",Agriculture
Kenya Situation Update | May 2024: The resurgence of teacher protests and infighting within civilian and security institutions,Sasisho la Hali ya Kenya | Mei 2024: Kuzuka upya kwa maandamano ya walimu na mapigano ndani ya taasisi za kiraia na usalama,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
A national workshop is to be launched to create awareness on importance of farming based on technology.,N/A - Pending Fine-Tuned Model Inference,Omoroberio bwokworokereria bwense yaito igoro yengencho yoboremi obuya bwetekinorochia bwatangasirwe.,Agriculture
Motorcycle ambulance helps pregnant women in drought-stricken community to access life-saving maternal health care,Ambulance ya pikipiki husaidia wanawake wajawazito katika jamii iliyokumbwa na ukame kupata huduma ya afya ya uzazi ya kuokoa maisha,N/A - Pending Fine-Tuned Model Inference,Health
Kenya | Complex Emergency Operation Update MDRKE068,Kenya | Sasisho Changamano la Operesheni ya Dharura MDRKE068,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Kenya: Refugee Policy Review Framework Country Summary as at 31 December 2021,Kenya: Muhtasari wa Mfumo wa Mapitio ya Sera ya Wakimbizi kufikia tarehe 31 Desemba 2021,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Additional priorities include developing underexploited Pharmaceutical Value Chain Level 4 (API production) and Level 5 (R&D), which require advanced technology, specialized skills, and significant investment despite available government incentives.","Vipaumbele vya ziada ni pamoja na kuendeleza Kiwango cha 4 cha Mnyororo wa Thamani ya Dawa (uzalishaji wa API) na Kiwango cha 5 (R&D), ambacho kinahitaji teknolojia ya hali ya juu, ujuzi maalum na uwekezaji mkubwa licha ya motisha zinazopatikana za serikali.",N/A - Pending Fine-Tuned Model Inference,Governance
IEBC Selection Panel Appointed: Panel to select IEBC commissioners sworn in Panel sworn in after protracted court battles CJ Koome urges panel to prioritize integrity Panel has 90 days to recruit IEBC commissioners,N/A - Pending Fine-Tuned Model Inference,Ekeombe Bene kiobochori gia IEBC  gochakiwa bene:Ekeombe bene kerachie kobachora abateneneri bene bekeombe kiobochori nechimbebe giachakigwe bene ase okobekwa ase obokoreri bene nyuma ebina ebinge ebio biabwateranetie ogochorwa geekeombe ekio egechore. omonachi ebina omonene Martha koome oboririe ekeombe ekio kwangoyia obochori obwo asengecho nigo babwate amatuko emerongo 30 goikerania obochori obwo.,Governance
"Consequently, trust is often the first line of defense for public health. This was one of the key messages highlighted by the World Health Organization’s Representative in Angola, Dr. Indrajit Hazarika, when he pointed out that effective communication is not about demonstrating knowledge, but about ensuring understanding, and that credibility is not built during a crisis, but every single day.","Kwa hivyo, uaminifu mara nyingi ndio safu ya kwanza ya ulinzi kwa afya ya umma. Huu ulikuwa ni ujumbe muhimu ulioangaziwa na Mwakilishi wa Shirika la Afya Duniani nchini Angola, Dk. Indrajit Hazarika, alipodokeza kwamba mawasiliano madhubuti sio juu ya kuonyesha maarifa, lakini juu ya kuhakikisha uelewa, na kwamba uaminifu haujengwi wakati wa shida, lakini kila siku.",N/A - Pending Fine-Tuned Model Inference,General
"Pursuant to the provisions of the Constitution of Kenya and all other relevant legal requirements, the National Treasury invites members of the public to submit written comments and/or memoranda on the draft Government Investment Regulations 2024 in the format provided on the website, and send them to: giregulations@treasury.go.ke or, by hand delivery or by post to the following address on or before close of business on 30 th September 2024: Principal Secretary National Treasury P.O Box 30007 – 00100 NAIROBI Further, members of the public are invited to attend in-person public consultations on the Regulations at any of the venues indicated below that is convenient or as per the schedule below: THE NATIONAL TREASURY & ECONOMIC PLANNING DRAFT GOVERNMENT INVESTMENTS REGULATION, 2024 PUBLIC NOTICE HON.",N/A - Pending Fine-Tuned Model Inference,N/A - Pending Fine-Tuned Model Inference,General
Kenya launches its Disaster Risk Financing Strategy 2026–2030,Kenya inazindua Mkakati wake wa Ufadhili wa Hatari za Maafa 2026-2030,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Climate smart agriculture is one way to guard the relationship between farm manure as a means of food security and combart climate change.,N/A - Pending Fine-Tuned Model Inference,Oboremi borengete ebimeri biria bikoremereria ogoonchoka kwerire na egurargura (CSA) nenchera erengete eyemo yokorenda oboamate bwemegondo obotobu bwemegondo yaito buna enchera eyemo yogoikerania omoigoto bwendagera naboigo gosegeta rire ...,Agriculture
"Ouidah—Benin is intensifying its efforts in the fight against malaria by relying on innovative strategies. Every three years, the country organizes a nationwide campaign to distribute free long-lasting insecticide-treate…","Ouidah—Benin inazidisha juhudi zake katika vita dhidi ya malaria kwa kutegemea mikakati ya kibunifu. Kila baada ya miaka mitatu, nchi huandaa kampeni ya kitaifa ya kusambaza dawa za muda mrefu bila malipo…",N/A - Pending Fine-Tuned Model Inference,General
Delayed. Denied: Legal and Administrative Bottlenecks to Effective and Efficient Delivery of Justice for Survivors of SGBV in Kenya,Imechelewa. Imekataliwa: Vizuizi vya Kisheria na Kitawala kwa Utoaji Haki Ufanisi na Bora kwa Waathiriwa wa SGBV nchini Kenya.,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Gender Strategy on Weather and Climate Information Services in East Africa,Mkakati wa Jinsia wa Huduma za Taarifa za Hali ya Hewa na Hali ya Hewa katika Afrika Mashariki,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Navigating the City - The Internal Migration of Refugees from Kakuma and Dadaab Refugee Camps to Nairobi, Working paper 3 - December 2024","Kupitia Jiji - Uhamiaji wa Ndani wa Wakimbizi kutoka Kambi za Wakimbizi za Kakuma na Dadaab hadi Nairobi, Mada ya Kazi 3 - Desemba 2024",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
There is family life lessons in hospitals for couples to help them plan about their birth spacing,N/A - Pending Fine-Tuned Model Inference,Chinyagitari nkorwa chire amaorokererio amaya yo obonyomba ase abanyuomaine na abanto bande bonsi egere gokonya ogochora okuya igoro yeribaga na gokei oboibori.,Health
"« Lorsque les filles réussissent, c’est l’ensemble des communautés qui commence à changer » : un refuge rural du Kenya donne de l’espoir aux filles malgré les mutilations génitales féminines","""Lorsque les filles réussissent, c'est l'ensemble des communautés qui commence à changer"" : un refuge village du Kenya donne de l'espoir aux filles malgré les mutilations génitales féminines",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
the adoption of agricultural practices due to increased access ... The results indicate that credit access and market access are significant factors in honey ...,N/A - Pending Fine-Tuned Model Inference,abaremi gochaka goitaba ase engencho yogoikera ... Amairanerio nigo akworokia ng'a ogoikera echiro nenchera eyemo ase oboke …,Agriculture
"These actions may also be combined with a pushâ€“pull strategy where the deer are ... Animal Feed Science and Technology, 181, 15â€“25. https ...",N/A - Pending Fine-Tuned Model Inference,"Ogokora oko nabo korabwatanigwe nomoroberio  nogosegeta ase chingabi chire ... Obosayansi bwendagera yetugo na tekinorochia, 181, 15â€“25. https ...",Agriculture
KNCHR trains paralegals to support communities on legal rights.,N/A - Pending Fine-Tuned Model Inference,Ekeombe keria ekenene kerendete oboronge bwakemwanyabanto KNCHR ngosomia kere abaegereri boboronge koegerera abanto igoro yoborongo bwabo.,Education
Wajir County: Drought Early Warning Bulletin for July 2024,Kaunti ya Wajir: Taarifa ya Onyo la Mapema kuhusu Ukame Julai 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Tana River County: Drought Early Warning Bulletin for July 2023,Kaunti ya Tana River: Taarifa ya Onyo la Mapema kuhusu Ukame Julai 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Technology supports gender-based violence prevention through safety apps and digital tools that offer emergency contacts and discreet help-seeking features.,N/A - Pending Fine-Tuned Model Inference,Etekinorochi ngokonya ere gotanga ogokorerwa bobe ekiagera eki ore goetera ebikoreri bioborendi bwaya amo negedichitari konyora chinamba chiesimi korigia ogokonya otari kwemanyekania.,Security
KMTC March 2026 intake: Apply online before December 20.,N/A - Pending Fine-Tuned Model Inference,Okarangerigwa kwa abana ase chikorechi chiobonyagitari omotienyi ogatato 2026: Toma ogosaba kwao goetera ientaneti yechitariki 20 chiomotienyi 12.,Education
Anti-bullying policy launched in all junior secondary schools.,N/A - Pending Fine-Tuned Model Inference,"Amachiko arengete gotanga, gokwanerana na gokeania okomocherwa gose gochaya abana bande arurwe ase chisuku chiesekenderi ya nse chionsi",Education
Kitui County: Drought Early Warning Bulletin for October 2023,Kaunti ya Kitui: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
This conversation seeks to understand what Government and private sector have done in presenting DPI in boosting agriculture.,N/A - Pending Fine-Tuned Model Inference,Enkwana eye nerigie komanya eki eserikari egokora amo neki abanyabiasara ase okobeka DPI erio kogendereria chingencho chioboremi.,Agriculture
"Kenya has reported high infection rates of Covid 19 every day; already 3077, 123 already registered in Kenya.",N/A - Pending Fine-Tuned Model Inference,"Kenya koripoti okomentekana okonene ase okoambokera gwa COVID-19 kera rituko; Ase ebipimo 3,077,123 biatokire koba na ebinyinyi bia COVID -19",Health
"#CervicalCancer is the easier gynecologic cancer to prevent, with regular screening tests and follow-up #CervicalHealthMonth @kenconetwork @ClintonHealth @Women4Cancer @oasisoflifeke @PSKenya_ @KEMRI_Kenya @AfriCF","#CervicalCancer ndio njia rahisi ya kuzuia saratani ya uzazi, kwa vipimo vya uchunguzi wa mara kwa mara na ufuatiliaji #Mwezi wa Afya ya Kizazi @kenconetwork @ClintonHealth @Women4Cancer @oasisoflifeke @PSKenya_ @KEMRI_Kenya @AfriCF",N/A - Pending Fine-Tuned Model Inference,Public Health
"Services to an organization with many people Kenya, have started awareness aimed at promoting foods rich in iron-folate to young people in Busia, Kiyui and nakuru regions",N/A - Pending Fine-Tuned Model Inference,"Obokoreri aae ekeombe kere nabanto abange Kenya, bachakirie amasomo borengete chindagera chire namadini yechuma-folate ase abasae chinsemo chia Busia, Kitui amo na Nakuru",Health
Absorbing Climate Shocks and Easing Conflict in Kenya’s Rift Valley,Kuchukua Mishtuko ya Hali ya Hewa na Kupunguza Migogoro katika Bonde la Ufa la Kenya,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Announcement to farmers to use certified seeds and harvest big nationally.,N/A - Pending Fine-Tuned Model Inference,Ogokurerwa gochia abaremi igoro yogotumia embusuro eria yancheire erio kogesa omoroberio bwense ase okorema endagera.,Agriculture
"02 of 2023 ii © Government of the Republic of Kenya, 2023 To obtain copies of the National Tax Policy, please contact: Public Relations Office The National Treasury Treasury Building Harambee Avenue P.",N/A - Pending Fine-Tuned Model Inference,N/A - Pending Fine-Tuned Model Inference,General
Ministry of Education launches mobile app to monitor school feeding program activities and ensure transparency.,N/A - Pending Fine-Tuned Model Inference,"Eminisitiri yechisemi yaansire omoroberio bwechisimi ogokonya abarai, abaibori na baria bande bare nokobua kobwatia, koraa,  ana korenda emeroberio yechiukuru goetera egedichitari igiro yomoroberio bwokoragaria erio goikerania ng'a ayio ngokoreka are maiso marore.",Education
"Localisation of Protection Programming in Garissa & Turkana, Kenya (July 2024)","Ujanibishaji wa Mipango ya Ulinzi huko Garissa na Turkana, Kenya (Julai 2024)",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
It was announced that schools under leadership of yopung people and how they prepare poridge….,N/A - Pending Fine-Tuned Model Inference,Yararetigwe buna chisukuru chikoragwa na abasae bàkorosia chirongori chikongorie na ebitakunero amo na abaobisa bobochenu,Health
"Mungatana urges IEBC to ensure transparency, fairness in upcoming by-elections",N/A - Pending Fine-Tuned Model Inference,"Mungatana orure okoboria ase IEBC koenekia oboene, obwasioku ase obochori oboke obwo bore motwe.",Governance
"Kenya Key Message Update: Emergency (IPC Phase 4) acute food insecurity in northern and northeastern Kenya, May 2022","Taarifa ya Ujumbe Muhimu wa Kenya: Dharura (IPC Awamu ya 4) uhaba mkubwa wa chakula kaskazini na kaskazini mashariki mwa Kenya, Mei 2022",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Narok County: Drought Early Warning Bulletin for August 2024,Kaunti ya Narok: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Agosti 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Kenya Statistics Infographics | March 2026,Kenya Takwimu Infographics | Machi 2026,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
KNCHR conducts outreach to educate the public on constitutional rights.,N/A - Pending Fine-Tuned Model Inference,Ekeombe keria ekenene kerendete oboronge bwakemwanyabanto KNCHR ngokora kere omoroberio bwogosomia abanto igoro yamachiko yoboronge bwomonto.,Education
"Safaricom Chief Executive Officer, Mr. Peter Ndegwa today paid a courtesy call on the Cabinet Secretary for Health, Hon. Mutahi Kagwe and explored areas of partnership in regard to COVID-19. @SafaricomPLC is currently hosting the COVID-19 call centre. #KomeshaCorona Update.","Afisa Mkuu Mtendaji wa Safaricom, Bw. Peter Ndegwa leo amemtembelea Katibu wa Baraza la Mawaziri wa Afya, Mhe. Mutahi Kagwe na kuchunguza maeneo ya ushirikiano kuhusu COVID-19. @SafaricomPLC kwa sasa ni mwenyeji wa kituo cha simu cha COVID-19. #KomeshaCorona Update.",N/A - Pending Fine-Tuned Model Inference,Public Health
"Building on lessons from the DRF Strategy 2018–2022, this updated Strategy expands beyond risk retention and risk transfer to incorporate investments for risk reduction.","Kwa kuzingatia mafunzo kutoka kwa Mkakati wa DRF 2018–2022, Mkakati huu uliosasishwa unapanuka zaidi ya uhifadhi wa hatari na uhamishaji wa hatari ili kujumuisha uwekezaji wa kupunguza hatari.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Kenya introduces WHO child development assessment tool in national health survey for the first time,Kenya inatanguliza shirika la WHO la kutathmini ukuaji wa mtoto katika utafiti wa afya wa kitaifa kwa mara ya kwanza,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Progressive agriculture in kenya has transformed barren land, and increased yields among small scale farmers.",N/A - Pending Fine-Tuned Model Inference,a Museo. Kwegera oboremi bwokwegendereria aiga Kenya bwaonchoire emegondo emenene yarenge emegomba koirania obotoby na kogesa obioremi nerigesa riebirengo bia igoro.,Agriculture
Lamu County: Drought Early Warning Bulletin for May 2024,Kaunti ya Lamu: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Mei 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
National Drought Early Warning Bulletin January 2025,Taarifa ya Tahadhari ya Mapema ya Kitaifa Januari 2025,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Learning is a Lifeline: Access to Education for Refugee Children in Kenya,Kujifunza ni Njia ya Maisha: Upatikanaji wa Elimu kwa Watoto Wakimbizi nchini Kenya,N/A - Pending Fine-Tuned Model Inference,Education
Youth Agenda introduces hackathons to design youth policies.,N/A - Pending Fine-Tuned Model Inference,Achenda yaasae goetera okobwaterana korosia amachiko agosira abasae.,Education
"Lets talk about mental health! If they have abondoned this duty, reach out to them a speak",N/A - Pending Fine-Tuned Model Inference,"Tokwanere obochenu bwobongo! Onye batigire gokwana, koranche barigie obakwanere",Health
"The county department of health – Uasin Gishu, however, dismissed the rumor through public notice as false.","Idara ya afya ya kaunti - Uasin Gishu, hata hivyo, ilipuuza uvumi huo kupitia notisi ya umma kuwa ya uwongo.",N/A - Pending Fine-Tuned Model Inference,Governance
"In exercise of this mandate, Section 7(2)© of the Act requires the National Treasury to design and prescribe an efficient procurement management system for the national and county governments to ensure transparent procurement and asset disposal as contemplated by Article 227 of the Constitution: Provided that the National Treasury shall prescribe through Regulations a system under this paragraph which operates, respects and promotes the distinctiveness of the national and county levels of government; The Public Procurement and Asset Disposal Act 2015 came into effect in January 2016.",N/A - Pending Fine-Tuned Model Inference,N/A - Pending Fine-Tuned Model Inference,General
Tana River County: Drought Early Warning Bulletin for September 2022,Kaunti ya Tana River: Taarifa ya Onyo la Mapema kuhusu Ukame la Septemba 2022,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Great resolutions including individuals in a summit meeting G20. Finance and agriculture of G20 in Washington DC.. na..,N/A - Pending Fine-Tuned Model Inference,Amangana engencho yomonto na aya okoinyoria nabwatekaine nokowa amangana amanene as omosangerekano obeene o G20 Bwechibesa na Oboremi korwa Omominisita o Washington D.C. na...,Agriculture
"This will de-risk the LM investment landscape and attract capital needed for infrastructure upgrades and foster private sector-led growth for supply stability, health security, and a future of shared prosperity for Kenya and Africa.","Moja ya dharura ya muda mrefu ya darasa la 2 (Mpox, Clade 1b) na matukio mengine kadhaa ya kipaumbele yanaendelea, ikiwa ni pamoja na milipuko ya surua katika kaunti tatu, mafuriko yaliyoenea kutokana na mvua ndefu za MAM, na shida kubwa ya usalama wa chakula na lishe katika kaunti kame na nusu kame (ASAL).",N/A - Pending Fine-Tuned Model Inference,Health
"(b) build institutional capacity to conduct high quality applied research, relevant to addressing a key development challenge/priority;","(b) kujenga uwezo wa kitaasisi kufanya utafiti wa hali ya juu uliotumika, unaofaa kushughulikia changamoto/kipaumbele kikuu cha maendeleo;",N/A - Pending Fine-Tuned Model Inference,General
Good eggs sales on free range poultry both online and newspapers adverts. Learn on how you can promote the same and reach buyers.,N/A - Pending Fine-Tuned Model Inference,Oboonia obuya bwamagena echingoko chiao chiria chigotara isiko goetera obokoreri bwembeo namagaseti. Nyora obomanyi igoro buna oranyare komanyekania amagena echingoko chiao na goikera abagori.,Agriculture
"Pan African University Institute of Basic Sciences, Technology and Innovation (PAUSTI) Project under DUE","Mradi wa Taasisi ya Pan African University of Basic Sciences, Technology and Innovation (PAUSTI) chini ya DUE",N/A - Pending Fine-Tuned Model Inference,General
The month of June is a commemoration of self care and your mental health. Practice to take care of yourself,N/A - Pending Fine-Tuned Model Inference,Omotiènyi ogatano nekeinyorio giokoroberia okwerenda omonyene na obochenu bwobongo. Enari kwerenda,Health
